model,hidden_layers,learning_rate,activation,accuracy
MyNN,"(16,)",0.001,relu,0.26222222222222225
MyNN,"(16,)",0.001,tanh,0.25333333333333335
MyNN,"(16,)",0.01,relu,0.16444444444444445
MyNN,"(16,)",0.01,tanh,0.022222222222222223
MyNN,"(32,)",0.001,relu,0.3333333333333333
MyNN,"(32,)",0.001,tanh,0.3422222222222222
MyNN,"(32,)",0.01,relu,0.11555555555555555
MyNN,"(32,)",0.01,tanh,0.18666666666666668
MyNN,"(64, 32)",0.001,relu,0.23555555555555555
MyNN,"(64, 32)",0.001,tanh,0.22666666666666666
MyNN,"(64, 32)",0.01,relu,0.06222222222222222
MyNN,"(64, 32)",0.01,tanh,0.03111111111111111
MyNN,"(64, 32, 16)",0.001,relu,0.15555555555555556
MyNN,"(64, 32, 16)",0.001,tanh,0.2088888888888889
MyNN,"(64, 32, 16)",0.01,relu,0.017777777777777778
MyNN,"(64, 32, 16)",0.01,tanh,0.05333333333333334
LLM_NN,"(16,)",0.001,relu,0.09777777777777778
LLM_NN,"(16,)",0.001,tanh,0.10666666666666667
LLM_NN,"(16,)",0.01,relu,0.27111111111111114
LLM_NN,"(16,)",0.01,tanh,0.24444444444444444
LLM_NN,"(32,)",0.001,relu,0.16444444444444445
LLM_NN,"(32,)",0.001,tanh,0.19555555555555557
LLM_NN,"(32,)",0.01,relu,0.26666666666666666
LLM_NN,"(32,)",0.01,tanh,0.26666666666666666
LLM_NN,"(64, 32)",0.001,relu,0.12
LLM_NN,"(64, 32)",0.001,tanh,0.1688888888888889
LLM_NN,"(64, 32)",0.01,relu,0.17777777777777778
LLM_NN,"(64, 32)",0.01,tanh,0.2577777777777778
LLM_NN,"(64, 32, 16)",0.001,relu,0.06666666666666667
LLM_NN,"(64, 32, 16)",0.001,tanh,0.1111111111111111
LLM_NN,"(64, 32, 16)",0.01,relu,0.12444444444444444
LLM_NN,"(64, 32, 16)",0.01,tanh,0.14222222222222222
PyTorchNN,"(16,)",0.001,relu,0.29333333333333333
PyTorchNN,"(16,)",0.001,tanh,0.41333333333333333
PyTorchNN,"(16,)",0.01,relu,0.28444444444444444
PyTorchNN,"(16,)",0.01,tanh,0.24444444444444444
PyTorchNN,"(32,)",0.001,relu,0.3688888888888889
PyTorchNN,"(32,)",0.001,tanh,0.47555555555555556
PyTorchNN,"(32,)",0.01,relu,0.3511111111111111
PyTorchNN,"(32,)",0.01,tanh,0.35555555555555557
PyTorchNN,"(64, 32)",0.001,relu,0.37777777777777777
PyTorchNN,"(64, 32)",0.001,tanh,0.44
PyTorchNN,"(64, 32)",0.01,relu,0.22666666666666666
PyTorchNN,"(64, 32)",0.01,tanh,0.35555555555555557
PyTorchNN,"(64, 32, 16)",0.001,relu,0.3288888888888889
PyTorchNN,"(64, 32, 16)",0.001,tanh,0.3688888888888889
PyTorchNN,"(64, 32, 16)",0.01,relu,0.14222222222222222
PyTorchNN,"(64, 32, 16)",0.01,tanh,0.19555555555555557
SklearnNN,"(16,)",0.001,relu,0.29777777777777775
SklearnNN,"(16,)",0.001,tanh,0.3422222222222222
SklearnNN,"(16,)",0.01,relu,0.30666666666666664
SklearnNN,"(16,)",0.01,tanh,0.3333333333333333
SklearnNN,"(32,)",0.001,relu,0.3511111111111111
SklearnNN,"(32,)",0.001,tanh,0.4444444444444444
SklearnNN,"(32,)",0.01,relu,0.37333333333333335
SklearnNN,"(32,)",0.01,tanh,0.4311111111111111
SklearnNN,"(64, 32)",0.001,relu,0.30666666666666664
SklearnNN,"(64, 32)",0.001,tanh,0.4088888888888889
SklearnNN,"(64, 32)",0.01,relu,0.28
SklearnNN,"(64, 32)",0.01,tanh,0.4088888888888889
SklearnNN,"(64, 32, 16)",0.001,relu,0.2
SklearnNN,"(64, 32, 16)",0.001,tanh,0.29777777777777775
SklearnNN,"(64, 32, 16)",0.01,relu,0.20444444444444446
SklearnNN,"(64, 32, 16)",0.01,tanh,0.2311111111111111
