model,hidden_layers,learning_rate,activation,accuracy
MyNN,"(16,)",0.001,relu,0.25333333333333335
MyNN,"(16,)",0.001,tanh,0.24444444444444444
MyNN,"(16,)",0.01,relu,0.16
MyNN,"(16,)",0.01,tanh,0.12444444444444444
MyNN,"(32,)",0.001,relu,0.28
MyNN,"(32,)",0.001,tanh,0.32
MyNN,"(32,)",0.01,relu,0.16
MyNN,"(32,)",0.01,tanh,0.18666666666666668
MyNN,"(64, 32)",0.001,relu,0.2222222222222222
MyNN,"(64, 32)",0.001,tanh,0.25333333333333335
MyNN,"(64, 32)",0.01,relu,0.03111111111111111
MyNN,"(64, 32)",0.01,tanh,0.06222222222222222
MyNN,"(64, 32, 16)",0.001,relu,0.16444444444444445
MyNN,"(64, 32, 16)",0.001,tanh,0.16444444444444445
MyNN,"(64, 32, 16)",0.01,relu,0.035555555555555556
MyNN,"(64, 32, 16)",0.01,tanh,0.02666666666666667
LLM_NN,"(16,)",0.001,relu,0.10222222222222223
LLM_NN,"(16,)",0.001,tanh,0.12444444444444444
LLM_NN,"(16,)",0.01,relu,0.23555555555555555
LLM_NN,"(16,)",0.01,tanh,0.2311111111111111
LLM_NN,"(32,)",0.001,relu,0.13777777777777778
LLM_NN,"(32,)",0.001,tanh,0.21777777777777776
LLM_NN,"(32,)",0.01,relu,0.24
LLM_NN,"(32,)",0.01,tanh,0.3333333333333333
LLM_NN,"(64, 32)",0.001,relu,0.06666666666666667
LLM_NN,"(64, 32)",0.001,tanh,0.1688888888888889
LLM_NN,"(64, 32)",0.01,relu,0.2
LLM_NN,"(64, 32)",0.01,tanh,0.24888888888888888
LLM_NN,"(64, 32, 16)",0.001,relu,0.05333333333333334
LLM_NN,"(64, 32, 16)",0.001,tanh,0.07555555555555556
LLM_NN,"(64, 32, 16)",0.01,relu,0.14222222222222222
LLM_NN,"(64, 32, 16)",0.01,tanh,0.16
PyTorchNN,"(16,)",0.001,relu,0.28888888888888886
PyTorchNN,"(16,)",0.001,tanh,0.40444444444444444
PyTorchNN,"(16,)",0.01,relu,0.3288888888888889
PyTorchNN,"(16,)",0.01,tanh,0.25333333333333335
PyTorchNN,"(32,)",0.001,relu,0.4177777777777778
PyTorchNN,"(32,)",0.001,tanh,0.5155555555555555
PyTorchNN,"(32,)",0.01,relu,0.36444444444444446
PyTorchNN,"(32,)",0.01,tanh,0.38222222222222224
PyTorchNN,"(64, 32)",0.001,relu,0.4177777777777778
PyTorchNN,"(64, 32)",0.001,tanh,0.4622222222222222
PyTorchNN,"(64, 32)",0.01,relu,0.24444444444444444
PyTorchNN,"(64, 32)",0.01,tanh,0.37777777777777777
PyTorchNN,"(64, 32, 16)",0.001,relu,0.3377777777777778
PyTorchNN,"(64, 32, 16)",0.001,tanh,0.3377777777777778
PyTorchNN,"(64, 32, 16)",0.01,relu,0.1111111111111111
PyTorchNN,"(64, 32, 16)",0.01,tanh,0.14222222222222222
SklearnNN,"(16,)",0.001,relu,0.29777777777777775
SklearnNN,"(16,)",0.001,tanh,0.3422222222222222
SklearnNN,"(16,)",0.01,relu,0.30666666666666664
SklearnNN,"(16,)",0.01,tanh,0.3333333333333333
SklearnNN,"(32,)",0.001,relu,0.3511111111111111
SklearnNN,"(32,)",0.001,tanh,0.4444444444444444
SklearnNN,"(32,)",0.01,relu,0.37333333333333335
SklearnNN,"(32,)",0.01,tanh,0.4311111111111111
SklearnNN,"(64, 32)",0.001,relu,0.30666666666666664
SklearnNN,"(64, 32)",0.001,tanh,0.4088888888888889
SklearnNN,"(64, 32)",0.01,relu,0.28
SklearnNN,"(64, 32)",0.01,tanh,0.4088888888888889
SklearnNN,"(64, 32, 16)",0.001,relu,0.2
SklearnNN,"(64, 32, 16)",0.001,tanh,0.29777777777777775
SklearnNN,"(64, 32, 16)",0.01,relu,0.20444444444444446
SklearnNN,"(64, 32, 16)",0.01,tanh,0.2311111111111111
